what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387252109869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387252109920
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387252109946
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387252116212
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387252117580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252123511
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387252125411
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1387252125447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1387252125447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252125467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252131986
error,log,,,"Invalid thread access",1387252146742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1387252162271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252162283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252172118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252236105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252238280
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1387252240234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1387252240234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252240261
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.openProject",1387252251135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252274638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1387252278343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252278363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252280131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252348142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252351271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252402685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252403750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252459922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252465247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252482515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252487489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252509470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252510648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252516180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252521185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252535516
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387252535783
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387252535838
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387252535864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252540401
